NUMERO BDV,NOM BDV,,NOM DU CANDIDAT,VOIX EXPRIMÉES T1,NOM DU CANDIDAT,VOIX EXPRIMÉES T1,NOM DU CANDIDAT,VOIX EXPRIMÉES T1,Nom candidat gauche Tour 2,Voix exprimées 2e tour
1021,VIEUX BORDEAUX 1,bastion historique,PIERRE HURMIC,"26,38 %",NORDINE RAYMOND,"17,34 %",PHILIPPE POUTOU,"7,20 %",HURMIC,"52,10 %"
1023,VIEUX BORDEAUX 3,bastion historique,PIERRE HURMIC,"27,59 %",NORDINE RAYMOND,"17,24 %",PHILIPPE POUTOU,"7,99 %",HURMIC,"58,75 %"
1041,PAUL BERT 1,bastion exemplaire,PIERRE HURMIC,"34,21 %",NORDINE RAYMOND,"14,54 %",PHILIPPE POUTOU,"8,17 %",HURMIC,"66,24 %"
1043,PAUL BERT 3,bastion exemplaire,PIERRE HURMIC,"29,35 %",NORDINE RAYMOND,"19,42 %",PHILIPPE POUTOU,"8,20 %",HURMIC,"64,35 %"
1061,MENUTS 1,bastion historique,PIERRE HURMIC,"30,72 %",NORDINE RAYMOND,"24,37 %",PHILIPPE POUTOU,"12,56 %",HURMIC,"75,35 %"
1062,MENUTS 2,bastion démobilisé,PIERRE HURMIC,"31,48 %",NORDINE RAYMOND,"26,54 %",PHILIPPE POUTOU,"14,66 %",HURMIC,"79,24 %"
1063,MENUTS 3,bastion exemplaire,PIERRE HURMIC,"34,89 %",NORDINE RAYMOND,"23,16 %",PHILIPPE POUTOU,"10,83 %",HURMIC,"77,42 %"
1064,MENUTS 4,bastion historique,PIERRE HURMIC,"33,90 %",NORDINE RAYMOND,"24,08 %",PHILIPPE POUTOU,"12,73 %",HURMIC,"79,94 %"
4121,LOUISE MICHEL,bastion historique,PIERRE HURMIC,"20,72 %",NORDINE RAYMOND,"28,29 %",PHILIPPE POUTOU,"3,59 %",HURMIC,"63,32 %"
5001,ANDRE MEUNIER 1,bastion démobilisé,PIERRE HURMIC,"32,16 %",NORDINE RAYMOND,"27,47 %",PHILIPPE POUTOU,"8,88 %",HURMIC,"75,49 %"
5002,ANDRE MEUNIER 2,bastion historique,PIERRE HURMIC,"38,01 %",NORDINE RAYMOND,"19,42 %",PHILIPPE POUTOU,"8,99 %",HURMIC,"71,93 %"
5003,ANDRE MEUNIER 3,bastion démobilisé,PIERRE HURMIC,"26,27 %",NORDINE RAYMOND,"26,42 %",PHILIPPE POUTOU,"12,90 %",HURMIC,"72,43 %"
5004,ANDRE MEUNIER 4,bastion historique,PIERRE HURMIC,"32,45 %",NORDINE RAYMOND,"25,24 %",PHILIPPE POUTOU,"9,87 %",HURMIC,"75,60 %"
5005,ANDRE MEUNIER 5,bastion historique,PIERRE HURMIC,"28,38 %",NORDINE RAYMOND,"24,66 %",PHILIPPE POUTOU,"9,46 %",HURMIC,"70,88 %"
5082,SON TAY 2,bastion exemplaire,PIERRE HURMIC,"25,99 %",NORDINE RAYMOND,"15,41 %",PHILIPPE POUTOU,"8,06 %",HURMIC,"60,42 %"
5084,SON TAY 4,bastion historique,PIERRE HURMIC,"27,80 %",NORDINE RAYMOND,"17,63 %",PHILIPPE POUTOU,"7,88 %",HURMIC,"60,09 %"
5101,NUIT 1,bastion historique,PIERRE HURMIC,"37,11 %",NORDINE RAYMOND,"11,96 %",PHILIPPE POUTOU,"7,30 %",HURMIC,"62,22 %"
5141,SUZANNE MARTIN 1,bastion historique,PIERRE HURMIC,"39,25 %",NORDINE RAYMOND,"10,34 %",PHILIPPE POUTOU,"6,56 %",HURMIC,"63,26 %"
5161,BENAUGE 1,bastion historique,PIERRE HURMIC,"42,10 %",NORDINE RAYMOND,"8,31 %",PHILIPPE POUTOU,"5,59 %",HURMIC,"63,24 %"
5162,BENAUGE 2,bastion historique,PIERRE HURMIC,"33,80 %",NORDINE RAYMOND,"14,29 %",PHILIPPE POUTOU,"5,84 %",HURMIC,"61,19 %"
