Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Libellé de liste 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Libellé de liste 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Libellé de liste 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Libellé de liste 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,Libellé de liste 5,Voix 5,% Voix/inscrits 5,% Voix/exprimés 5,Libellé de liste 6,Voix 6,% Voix/inscrits 6,% Voix/exprimés 6,Libellé de liste 7,Voix 7,% Voix/inscrits 7,% Voix/exprimés 7,Libellé de liste 8,Voix 8,% Voix/inscrits 8,% Voix/exprimés 8,Libellé de liste 9,Voix 9,% Voix/inscrits 9,% Voix/exprimés 9,Libellé de liste 10,Voix 10,% Voix/inscrits 10,% Voix/exprimés 10,Libellé de liste 11,Voix 11,% Voix/inscrits 11,% Voix/exprimés 11,TOTAL GAUCHE,TOTAL EXT GAUCHE,TOTAL DROITE,TOTAL EXT DROITE,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Nom candidat 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Nom candidat 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,DIFF T1-2 GAUCHE,DIFF T1-2 CAZ/DES,VOIX EXT DROITE T1,TAUX DE REPORT,REPORT GAUCHE,ABSTENTIONNISTE T2 PAR RAPPORT AU T1,voix Dessertine T1,,Gauche hors Hurmic 1er tour,INDICE FUITE GAUCHE,TAUX DÉMOBILISATION,INDICE DE FUITE DROITE,MOBILISATION GAUCHE T1,MOBILISATION DROITE T1,MOBILISATION GAUCHE T2,MOBILISATION DROITE T2,ÉVOLUTION GAUCHE ,REPORT GAUCHE
5003,1264,655,"51,82 %",609,"48,18 %",651,"51,50 %","99,39 %",3,"0,24 %","0,46 %",1,"0,08 %","0,15 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,6,"0,47 %","0,92 %",Faire Gagner Bordeaux,98,"7,75 %","15,05 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,11,"0,87 %","1,69 %",BORDEAUX EN CONFIANCE,171,"13,53 %","26,27 %",FAIRE MIEUX POUR BORDEAUX,172,"13,61 %","26,42 %",A LA RECONQUÊTE DE BORDEAUX,7,"0,55 %","1,08 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,55,"4,35 %","8,45 %",Lutte ouvrière - le camp des travailleurs,2,"0,16 %","0,31 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,31,"2,45 %","4,76 %",UNION DE LA GAUCHE,14,"1,11 %","2,15 %",ROUGE BORDEAUX ANTICAPITALISTE,84,"6,65 %","12,90 %",185,275,153,38,1264,600,"47,47 %",664,"52,53 %",584,"46,20 %","97,33 %",11,"0,87 %","1,83 %",5,"0,40 %","0,83 %",CAZENAVE,161,"12,74 %","27,57 %",HURMIC,423,"33,47 %","72,43 %",-37,8,38,"0,92","91,96%",55,55,,289,"8,04%","11,96%","-6,52%","36,39","15,11","33,47","12,74","-8,04","91,96%"
4163,1035,315,"30,43 %",720,"69,57 %",311,"30,05 %","98,73 %",2,"0,19 %","0,63 %",2,"0,19 %","0,63 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,1,"0,10 %","0,32 %",Faire Gagner Bordeaux,71,"6,86 %","22,83 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,3,"0,29 %","0,96 %",BORDEAUX EN CONFIANCE,64,"6,18 %","20,58 %",FAIRE MIEUX POUR BORDEAUX,41,"3,96 %","13,18 %",A LA RECONQUÊTE DE BORDEAUX,5,"0,48 %","1,61 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,26,"2,51 %","8,36 %",Lutte ouvrière - le camp des travailleurs,6,"0,58 %","1,93 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,36,"3,48 %","11,58 %",UNION DE LA GAUCHE,36,"3,48 %","11,58 %",ROUGE BORDEAUX ANTICAPITALISTE,22,"2,13 %","7,07 %",100,73,97,41,1035,306,"29,57 %",729,"70,43 %",289,"27,92 %","94,44 %",9,"0,87 %","2,94 %",8,"0,77 %","2,61 %",CAZENAVE,151,"14,59 %","52,25 %",HURMIC,138,"13,33 %","47,75 %",-35,54,41,"0,80","79,77%",9,26,,109,"20,23%","5,20%","7,51%","16,71","13,33","13,33","14,59","-20,23","79,77%"
5045,1045,641,"61,34 %",404,"38,66 %",635,"60,77 %","99,06 %",4,"0,38 %","0,62 %",2,"0,19 %","0,31 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,0,"0,00 %","0,00 %",Faire Gagner Bordeaux,116,"11,10 %","18,27 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,8,"0,77 %","1,26 %",BORDEAUX EN CONFIANCE,229,"21,91 %","36,06 %",FAIRE MIEUX POUR BORDEAUX,81,"7,75 %","12,76 %",A LA RECONQUÊTE DE BORDEAUX,6,"0,57 %","0,94 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,83,"7,94 %","13,07 %",Lutte ouvrière - le camp des travailleurs,4,"0,38 %","0,63 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,31,"2,97 %","4,88 %",UNION DE LA GAUCHE,15,"1,44 %","2,36 %",ROUGE BORDEAUX ANTICAPITALISTE,62,"5,93 %","9,76 %",244,155,199,37,1045,599,"57,32 %",446,"42,68 %",582,"55,69 %","97,16 %",11,"1,05 %","1,84 %",6,"0,57 %","1,00 %",CAZENAVE,215,"20,57 %","36,94 %",HURMIC,367,"35,12 %","63,06 %",-32,16,37,"0,92","91,98%",42,83,,170,"8,02%","10,53%","-5,26%","38,18","22,58","35,12","20,57","-8,02","91,98%"
4161,1158,479,"41,36 %",679,"58,64 %",469,"40,50 %","97,91 %",6,"0,52 %","1,25 %",4,"0,35 %","0,84 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,3,"0,26 %","0,64 %",Faire Gagner Bordeaux,90,"7,77 %","19,19 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,5,"0,43 %","1,07 %",BORDEAUX EN CONFIANCE,102,"8,81 %","21,75 %",FAIRE MIEUX POUR BORDEAUX,49,"4,23 %","10,45 %",A LA RECONQUÊTE DE BORDEAUX,10,"0,86 %","2,13 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,51,"4,40 %","10,87 %",Lutte ouvrière - le camp des travailleurs,11,"0,95 %","2,35 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,83,"7,17 %","17,70 %",UNION DE LA GAUCHE,50,"4,32 %","10,66 %",ROUGE BORDEAUX ANTICAPITALISTE,15,"1,30 %","3,20 %",152,83,141,93,1158,456,"39,38 %",702,"60,62 %",418,"36,10 %","91,67 %",25,"2,16 %","5,48 %",13,"1,12 %","2,85 %",CAZENAVE,213,"18,39 %","50,96 %",HURMIC,205,"17,70 %","49,04 %",-30,72,93,"0,87","87,23%",23,51,,133,"12,77%","9,79%","-8,94%","20,29","20,21","17,70","18,39","-12,77","87,23%"
4162,1293,537,"41,53 %",756,"58,47 %",526,"40,68 %","97,95 %",5,"0,39 %","0,93 %",6,"0,46 %","1,12 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,1,"0,08 %","0,19 %",Faire Gagner Bordeaux,122,"9,44 %","23,19 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,6,"0,46 %","1,14 %",BORDEAUX EN CONFIANCE,118,"9,13 %","22,43 %",FAIRE MIEUX POUR BORDEAUX,80,"6,19 %","15,21 %",A LA RECONQUÊTE DE BORDEAUX,12,"0,93 %","2,28 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,71,"5,49 %","13,50 %",Lutte ouvrière - le camp des travailleurs,5,"0,39 %","0,95 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,64,"4,95 %","12,17 %",UNION DE LA GAUCHE,32,"2,47 %","6,08 %",ROUGE BORDEAUX ANTICAPITALISTE,15,"1,16 %","2,85 %",150,107,193,76,1293,502,"38,82 %",791,"61,18 %",481,"37,20 %","95,82 %",10,"0,77 %","1,99 %",11,"0,85 %","2,19 %",CAZENAVE,250,"19,33 %","51,98 %",HURMIC,231,"17,87 %","48,02 %",-26,57,76,"0,90","89,88%",35,71,,139,"10,12%","13,62%","-7,39%","19,88","20,80","17,87","19,33","-10,12","89,88%"
4121,924,256,"27,71 %",668,"72,29 %",251,"27,16 %","98,05 %",1,"0,11 %","0,39 %",4,"0,43 %","1,56 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,2,"0,22 %","0,80 %",Faire Gagner Bordeaux,47,"5,09 %","18,73 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,3,"0,32 %","1,20 %",BORDEAUX EN CONFIANCE,52,"5,63 %","20,72 %",FAIRE MIEUX POUR BORDEAUX,71,"7,68 %","28,29 %",A LA RECONQUÊTE DE BORDEAUX,4,"0,43 %","1,59 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,13,"1,41 %","5,18 %",Lutte ouvrière - le camp des travailleurs,4,"0,43 %","1,59 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,39,"4,22 %","15,54 %",UNION DE LA GAUCHE,7,"0,76 %","2,79 %",ROUGE BORDEAUX ANTICAPITALISTE,9,"0,97 %","3,59 %",59,89,60,43,925,207,"22,38 %",718,"77,62 %",199,"21,51 %","96,14 %",3,"0,32 %","1,45 %",5,"0,54 %","2,42 %",CAZENAVE,73,"7,89 %","36,68 %",HURMIC,126,"13,62 %","63,32 %",-22,13,43,"0,85","85,14%",49,13,,96,"14,86%","33,78%","-20,27%","16,02","11,15","13,62","7,89","-14,86","85,14%"
5084,1049,489,"46,62 %",560,"53,38 %",482,"45,95 %","98,57 %",2,"0,19 %","0,41 %",5,"0,48 %","1,02 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,2,"0,19 %","0,41 %",Faire Gagner Bordeaux,90,"8,58 %","18,67 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,5,"0,48 %","1,04 %",BORDEAUX EN CONFIANCE,134,"12,77 %","27,80 %",FAIRE MIEUX POUR BORDEAUX,85,"8,10 %","17,63 %",A LA RECONQUÊTE DE BORDEAUX,7,"0,67 %","1,45 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,40,"3,81 %","8,30 %",Lutte ouvrière - le camp des travailleurs,4,"0,38 %","0,83 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,57,"5,43 %","11,83 %",UNION DE LA GAUCHE,20,"1,91 %","4,15 %",ROUGE BORDEAUX ANTICAPITALISTE,38,"3,62 %","7,88 %",154,134,130,64,1049,464,"44,23 %",585,"55,77 %",446,"42,52 %","96,12 %",10,"0,95 %","2,16 %",8,"0,76 %","1,72 %",CAZENAVE,178,"16,97 %","39,91 %",HURMIC,268,"25,55 %","60,09 %",-20,48,64,"0,93","93,06%",25,40,,154,"6,94%","8,68%","-5,56%","27,45","18,49","25,55","16,97","-6,94","93,06%"
1061,1263,681,"53,92 %",582,"46,08 %",677,"53,60 %","99,41 %",3,"0,24 %","0,44 %",1,"0,08 %","0,15 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,9,"0,71 %","1,33 %",Faire Gagner Bordeaux,97,"7,68 %","14,33 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,17,"1,35 %","2,51 %",BORDEAUX EN CONFIANCE,208,"16,47 %","30,72 %",FAIRE MIEUX POUR BORDEAUX,165,"13,06 %","24,37 %",A LA RECONQUÊTE DE BORDEAUX,9,"0,71 %","1,33 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,55,"4,35 %","8,12 %",Lutte ouvrière - le camp des travailleurs,0,"0,00 %","0,00 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,19,"1,50 %","2,81 %",UNION DE LA GAUCHE,13,"1,03 %","1,92 %",ROUGE BORDEAUX ANTICAPITALISTE,85,"6,73 %","12,56 %",221,276,152,28,1263,647,"51,23 %",616,"48,77 %",637,"50,44 %","98,45 %",7,"0,55 %","1,08 %",3,"0,24 %","0,46 %",CAZENAVE,157,"12,43 %","24,65 %",HURMIC,480,"38,00 %","75,35 %",-17,5,28,"0,97","96,58%",34,55,,289,"3,42%","6,84%","-4,63%","39,35","14,25","38,00","12,43","-3,42","96,58%"
5002,1452,842,"57,99 %",610,"42,01 %",834,"57,44 %","99,05 %",5,"0,34 %","0,59 %",3,"0,21 %","0,36 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,4,"0,28 %","0,48 %",Faire Gagner Bordeaux,107,"7,37 %","12,83 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,11,"0,76 %","1,32 %",BORDEAUX EN CONFIANCE,317,"21,83 %","38,01 %",FAIRE MIEUX POUR BORDEAUX,162,"11,16 %","19,42 %",A LA RECONQUÊTE DE BORDEAUX,2,"0,14 %","0,24 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,103,"7,09 %","12,35 %",Lutte ouvrière - le camp des travailleurs,5,"0,34 %","0,60 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,36,"2,48 %","4,32 %",UNION DE LA GAUCHE,12,"0,83 %","1,44 %",ROUGE BORDEAUX ANTICAPITALISTE,75,"5,17 %","8,99 %",329,257,210,38,1452,809,"55,72 %",643,"44,28 %",791,"54,48 %","97,78 %",10,"0,69 %","1,24 %",8,"0,55 %","0,99 %",CAZENAVE,222,"15,29 %","28,07 %",HURMIC,569,"39,19 %","71,93 %",-17,12,38,"0,97","97,10%",33,103,,269,"2,90%","5,63%","-4,44%","40,36","17,08","39,19","15,29","-2,90","97,10%"
5001,1235,601,"48,66 %",634,"51,34 %",597,"48,34 %","99,33 %",3,"0,24 %","0,50 %",1,"0,08 %","0,17 %",NPA Révolutionnaires - Bordeaux Ouvrière et Révolutionnaire,1,"0,08 %","0,17 %",Faire Gagner Bordeaux,71,"5,75 %","11,89 %",ARRACHER BORDEAUX AUX RICHES ET AUX SPÉCULATEURS,14,"1,13 %","2,35 %",BORDEAUX EN CONFIANCE,192,"15,55 %","32,16 %",FAIRE MIEUX POUR BORDEAUX,164,"13,28 %","27,47 %",A LA RECONQUÊTE DE BORDEAUX,4,"0,32 %","0,67 %",PHILIPPE DESSERTINE- L'OPTIMISME EST UNE FORCE,57,"4,62 %","9,55 %",Lutte ouvrière - le camp des travailleurs,6,"0,49 %","1,01 %",RASSEMBLEMENT NATIONAL POUR BORDEAUX,21,"1,70 %","3,52 %",UNION DE LA GAUCHE,14,"1,13 %","2,35 %",ROUGE BORDEAUX ANTICAPITALISTE,53,"4,29 %","8,88 %",206,238,128,25,1235,577,"46,72 %",658,"53,28 %",567,"45,91 %","98,27 %",5,"0,40 %","0,87 %",5,"0,40 %","0,87 %",CAZENAVE,139,"11,26 %","24,51 %",HURMIC,428,"34,66 %","75,49 %",-16,11,25,"0,96","96,40%",24,57,,252,"3,60%","5,41%","-3,15%","35,95","12,39","34,66","11,26","-3,60","96,40%"
